# LHCHXSWG YR4 BSM Higgs production cross sections at sqrt(s)=13.6 TeV
# Source: https://gitlab.cern.ch/LHCHIGGSXS/LHCHXSWG1/crosssections
# Repository commit: aad67de39778537fa36fa0692abf66fd43f660a4
# Workbook: YR4/Higgs_XSBR_YR4.xlsx
# Sheet: YR4 BSM 13.6 TeV
# Extracted ranges: ggF A6:E119; VBF J6:N119
# Scope: BSM mass grid, narrow-width approximation, no electroweak corrections
# 13.6 TeV values are interpolations of the 13 and 14 TeV recommendations
# Citation: CERN Yellow Report 4, arXiv:1610.07922
# Uncertainty columns reproduce the workbook components; scale_down_pct is negative
mass_gev	ggf_pb	ggf_scale_up_pct	ggf_scale_down_pct	ggf_pdfalphas_pct	vbf_pb	vbf_scale_up_pct	vbf_scale_down_pct	vbf_pdfalphas_pct
10	7263	49.56	-38.978	7.996	11.96	0.9768	-0.6946	2.0236
15	4455.6	36.182	-30.1	5.932	11.46	0.969	-0.6314	2.0062
20	2181	27.488	-23.696	4.83	10.94	0.9128	-0.6124	1.9912
25	1203.6	22.27	-19.274	4.334	10.4356	0.8508	-0.6158	1.9762
30	747.68	19.324	-16.368	4.16	9.9416	0.8664	-0.539	1.963
35	511.36	17.002	-14.39	3.998	9.462	0.8304	-0.5252	1.952
40	375.84	15.392	-13.16	3.888	9.0082	0.8118	-0.483	1.941
45	291.36	14.016	-12.33	3.8	8.5774	0.79	-0.4578	1.9324
50	234.84	12.934	-11.774	3.72	8.1706	0.7614	-0.4384	1.9238
55	194.9	12.056	-11.244	3.65	7.7872	0.7352	-0.4212	1.9174
60	165.4	11.354	-10.798	3.586	7.4262	0.708	-0.4082	1.9106
65	142.8	10.754	-10.414	3.526	7.086	0.6916	-0.3794	1.9052
70	124.94	10.262	-10.086	3.472	6.7654	0.6678	-0.3672	1.9006
75	110.5	9.846	-9.798	3.422	6.463	0.6436	-0.3522	1.8956
80	98.64	9.506	-9.556	3.376	6.1782	0.628	-0.3334	1.8924
